,MI_dir_L.1_weight,MI_dir_L.1_mean,MI_dir_L.1_variance,H_L.1_weight,H_L.1_mean,H_L.1_variance,HH_L.1_mean,HH_L.1_std,HH_L.1_magnitude,HH_L.1_radius,HH_L.1_covariance,HH_L.1_pcc,HH_jit_L.1_weight,HH_jit_L.1_mean,HH_jit_L.1_variance,HpHp_L.1_weight,HpHp_L.1_mean,HpHp_L.1_std,HpHp_L.1_magnitude,HpHp_L.1_radius,HpHp_L.1_covariance,HpHp_L.1_pcc,HH_L.1_weight
876,38.3625563,78.58421647,33.326563,38.3625563,78.58421647,33.326563,78,,78,,,,1,15565937,,1,78,,78,,,,1
877,39.281912,78.5693446,321.925477,39.281912,78.5693446,321.925477,78,9.54E-01,152.463113,9.90E-01,,,1.997897535,75237422,5.67E+02,1,78,,78,,,,1.997897535
878,4.2111493,78.55518515,313.9273675,4.2111493,78.55518515,313.9273675,78,1.35E-01,136.8783856,342.2495896,2.10E-01,8.43E-01,2.994292279,588436.7,5.30E+01,1,78,,78,,,,2.994292279
879,41.14874441,78.1425559,314.462241,41.14874441,78.1425559,314.462241,83.397434,12.4879275,18.8141229,155.9481646,-1.66E-01,-9.83E-01,5.65442359,54.1769892,7.15E+05,1,6,,6,,,,5.65442359
88,42.14844922,77.674728,314.5931232,42.14844922,77.674728,314.5931232,84.28528126,11.786431,13.514164,138.7836651,0.198626535,0.44813,6.619659731,43.583414,6.19E+04,1,6,,6,,,,6.619659731
881,43.14844748,77.2659422,314.374435,43.14844748,77.2659422,314.374435,83.3973319,12.48792754,12.732628,155.9484783,0.35554816,0.6184956,5.65447279,54.175282,7.15E+05,1,6,,6,,,,5.65447279
882,34.173737,77.63945898,39.76177,34.173737,77.63945898,39.76177,84.56571512,11.5549427,19.7786872,133.497943,-5.30E-01,-3.40E-01,5.326757378,416.7752954,5.89E+04,1.75341271,9,1.65E-01,9,2.73E-01,,,5.326757378
883,35.1736835,77.99244213,35.1527354,35.1736835,77.99244213,35.1527354,85.2274666,1.97264498,14.4489119,12.45175,-2.949928146,-0.342336851,6.6539491,365.955984,5.12E+04,2.49236156,9,9.54E-01,18.1665383,1.20E-01,,,6.6539491
884,36.1736789,78.32582457,3.572323,36.1736789,78.32582457,3.572323,84.5657254,11.5541468,13.9474716,133.499134,-2.83883746,-0.295128783,5.32677552,416.773889,5.89E+04,1.753413375,9,1.35E-01,18.1665383,1.82E-01,,,5.32677552
885,36.4778646,77.82344171,31.2866462,36.4778646,77.82344171,31.2866462,6,6.74E-01,6,4.55E-01,,,1.675645641,1362.972935,1.85E+05,1.675645641,6,6.74E-01,6,4.55E-01,,,1.675645641
886,36.72214414,77.3388221,31.4973543,36.72214414,77.3388221,31.4973543,63.5524893,6.822367714,98.2678314,74.5936835,39.4485611,0.21268445,7.699446374,272.858682,3.78E+05,5.19777353,6,,84.85281374,4.55E-01,1.17E-29,,7.699446374
887,36.73293876,77.21998433,293.787953,36.73293876,77.21998433,293.787953,76.41132881,2.327977619,139.73685,268.67887,-8.328582291,-0.218282922,3.147284371,341733588.3,3.98E+02,1,73,,73,,,,3.147284371
888,36.47922287,76.74793523,293.64185,36.47922287,76.74793523,293.64185,63.1219947,6.4992945,97.98869397,74.3355919,4.3485214,0.22835393,8.236334375,24.8166223,3.32E+05,5.88513115,6,,84.85281374,4.55E-01,1.84E-29,,8.236334375
889,1.3687,9,9.90E-01,1.3687,9,9.90E-01,9,9.54E-01,9,9.90E-01,,,1.3687,162.72136,2.18E+04,1.3687,9,9.54E-01,9,9.90E-01,,,1.3687
89,35.54288491,79.62479975,571.2675991,35.54288491,79.62479975,571.2675991,179.15547,1.416742276,179.15547,2.7158678,,,1.1247,3662.277585,2.73E+04,1,179,,179,,,,1.1247
891,36.2592583,79.85873,565.841651,36.2592583,79.85873,565.841651,6,,6,,,,1.282819,3791.455495,2.97E+05,1.9446188,6,9.54E-01,6,9.90E-01,,,1.282819
892,36.77769751,78.56126446,56.49259,36.77769751,78.56126446,56.49259,6,,6,,,,1.9933962,1889.942567,1.48E+04,2.891337945,6,6.74E-01,6,4.55E-01,,,1.9933962
893,37.52325438,78.666415,554.66478,37.52325438,78.666415,554.66478,6,6.74E-01,6,4.55E-01,,,2.979599511,1255.984555,9.82E+05,3.871334488,6,9.54E-01,6,9.90E-01,,,2.979599511
894,38.26434468,77.5944517,547.888959,38.26434468,77.5944517,547.888959,6,6.74E-01,6,4.55E-01,,,3.9594335,938.9921676,7.34E+05,4.844622358,6,6.74E-01,6,4.55E-01,,,3.9594335
895,38.99999587,77.14331187,541.5737126,38.99999587,77.14331187,541.5737126,6,9.54E-01,6,9.90E-01,,,4.931689347,748.7952678,5.85E+05,5.811153337,6,,6,,,,4.931689347
896,39.7347572,76.71182164,535.15359,39.7347572,76.71182164,535.15359,6,9.54E-01,6,9.90E-01,,,5.89767558,621.9989719,4.86E+05,6.77993771,6,6.74E-01,6,4.55E-01,,,5.89767558
897,4.45587127,76.29873397,528.6582349,4.45587127,76.29873397,528.6582349,6,6.74E-01,6,4.55E-01,,,6.856845164,531.4327786,4.15E+04,7.72419488,6,6.74E-01,6,4.55E-01,,,6.856845164
898,41.17576743,75.92982,522.114682,41.17576743,75.92982,522.114682,6,6.74E-01,6,4.55E-01,,,7.893757,463.514758,3.62E+04,8.67714893,6,1.17E-01,6,1.36E-01,,,7.893757
899,41.89194768,75.52328369,515.5436211,41.89194768,75.52328369,515.5436211,6,6.74E-01,6,4.55E-01,,,8.755541428,41.6853475,3.26E+04,9.61948668,6,1.17E-01,6,1.36E-01,,,8.755541428
9,42.626185,75.1589975,58.9659135,42.626185,75.1589975,58.9659135,6,6.74E-01,6,4.55E-01,,,9.6957676,368.4282565,2.88E+04,1.54456999,6,6.74E-01,6,4.55E-01,,,9.6957676
91,43.388957,74.8889137,52.39733,43.388957,74.8889137,52.39733,6,6.74E-01,6,4.55E-01,,,1.62822833,333.857995,2.65E+04,11.471878,6,,6,,,,1.62822833
92,44.97252,74.47243,495.8515429,44.97252,74.47243,495.8515429,6,,6,,,,11.5548129,35.5345,2.38E+05,12.3926251,6,9.54E-01,6,9.90E-01,,,11.5548129
93,44.755846,74.14867313,489.343589,44.755846,74.14867313,489.343589,6,9.54E-01,6,9.90E-01,,,12.47495769,28.6774899,2.19E+04,13.3698247,6,6.74E-01,6,4.55E-01,,,12.47495769
94,45.75765,74.1454224,478.6343386,45.75765,74.1454224,478.6343386,64.46878154,7.661892,14.3974213,21348.65868,338.124252,0.327751718,8.7234889,213.773354,2.91E+05,1,74,,74,,,,8.7234889
95,46.7366796,73.9711381,469.776213,46.7366796,73.9711381,469.776213,64.63756537,6.67734522,135.4843624,19225.5775,246.2467526,0.265967377,9.7268277,19.1511738,2.59E+05,1.99997688,69.99994138,4,11.8626123,16,,,9.7268277
96,47.7343449,76.4331218,736.22947,47.7343449,76.4331218,736.22947,77.8416479,38.276136,141.8448662,19279.72658,-3.9691,-0.579359,1.722292,171.272111,2.33E+05,2.9999669,11.4851,56.66295693,132.574998,321.69689,,,1.722292
97,48.7235597,76.1897214,723.289179,48.7235597,76.1897214,723.289179,76.834757,36.42472,369.6257231,25173.8887,24731.69934,1.35834561,11.7179521,155.831698,2.12E+04,3.999892865,99.6916,52.6439326,684.4311,38459.1656,3187.6322,0.9574599,11.7179521
98,49.7185664,75.98468561,71.7835763,49.7185664,75.98468561,71.7835763,75.2477834,34.97231631,369.4546981,25173.369,23623.656,1.35528776,12.7168169,142.8967915,1.95E+04,4.999851855,92.39985977,48.8982388,683.1162913,38456.5879,2871.9412,0.951633797,12.7168169
99,5.7165343,75.78775544,698.692138,5.7165343,75.78775544,698.692138,74.543134,33.69775549,369.3112554,25172.9564,2269.16923,1.34142288,13.7163234,131.965121,1.80E+04,5.999831413,87.99975951,45.798848,682.535475,38454.8113,26646.51357,0.945125688,13.7163234
91,51.7727,75.59843979,686.995166,51.7727,75.59843979,686.995166,73.93338599,32.55234738,369.1892342,25172.6235,21676.7139,1.33135296,14.7139187,122.586952,1.68E+04,6.99972138,84.85681147,43.1279411,682.1369451,38453.5728,24862.66842,0.937134264,14.7139187
911,52.69982624,75.5681876,674.66656,52.69982624,75.5681876,674.66656,73.9378596,31.45386152,349.868753,238917.9121,2378.16273,1.32546599,15.7114842,114.453235,1.56E+05,1,74,,74,,,,15.7114842
912,53.69796948,75.38992495,663.1279891,53.69796948,75.38992495,663.1279891,73.4438731,3.51982636,333.3852214,228177.999,19221.3861,1.31846476,16.761742,17.3316572,1.46E+05,1.999964767,69.99992953,3.999999999,11.862642,16,,,16.761742
913,54.6979994,85.65741188,6311.97342,54.6979994,85.65741188,6311.97342,16.4571322,135.6165321,342.1765981,228915.2271,1574.4986,0.163234748,17.75996,11.441513,1.38E+05,2.99996255,259.23124,267.371834,269.3662894,71453.1328,,,17.75996
914,55.69464458,85.3446211,625.3925,55.69464458,85.3446211,625.3925,14.2181686,132.1346976,334.2894159,197743.294,6113.423572,0.14247698,18.695852,95.452689,1.40E+03,3.999783458,21.7491221,246.1168169,39.3842839,67331.69896,281.79912,0.663536265,18.695852
915,56.6942477,84.9639686,612.393889,56.6942477,84.9639686,612.393889,12.21412,128.95381,333.67333,19767.642,5639.632619,0.98577744,19.6945176,9.4472572,1.23E+05,4.999754955,181.7978788,227.6196144,29.4374483,59571.4596,18315.38184,0.46927385,19.6945176
916,57.693813,84.77392379,5998.669243,57.693813,84.77392379,5998.669243,1.881826,125.826478,333.24269,19765.7793,5269.444147,0.94378677,2.693122,85.9451833,1.17E+04,1,74,,74,,,,2.693122
917,58.6929268,84.4545687,592.367779,58.6929268,84.4545687,592.367779,99.1567811,123.3739,31.2871347,18413.4557,5825.793264,0.1157189,21.6899529,81.8616186,1.12E+05,1.999984757,69.99996951,4,11.8626317,16,,,21.6899529
918,59.69257858,94.11264353,11278.8191,59.69257858,94.11264353,11278.8191,124.6147381,167.635179,319.3352644,185619.9813,27.78535,0.2883943,22.6887249,78.15228648,1.65E+04,2.99997399,267.17462,278.6198532,277.666571,77629.2262,,,22.6887249
919,6.6898577,93.64941949,1115.7897,6.6898577,93.64941949,1115.7897,122.737375,164.397375,315.8866387,166161.4875,-1158.276916,-0.1741251,23.6758117,74.76468185,1.19E+04,3.999797561,216.7487663,256.5815,31.9831589,71369.7536,28556.2652,0.669512843,23.6758117
92,61.6881521,93.212634,1937.94175,61.6881521,93.212634,1937.94175,119.7438563,161.3278113,314.993598,1662.1491,-1529.398625,-0.23412989,24.672846,71.65828291,9766382122,4.999732935,186.597426,237.2183821,29.7732589,62698.28567,18816.78474,0.4774177,24.672846
921,62.68368746,92.89488731,1769.23538,62.68368746,92.89488731,1769.23538,117.9188823,158.332461,35.95875,161296.944,-623.8721126,-0.987135,25.654849,68.79985224,93767474644,1,74,,74,,,,25.654849
922,63.68175926,92.47255465,1611.354,63.68175926,92.47255465,1611.354,115.926961,155.5832238,297.7919888,156688.761,122.5919867,0.22641,26.6471387,66.1644424,9169987613,1.999969239,69.99993848,4,11.862613,16,,,26.6471387
923,64.68122917,1.8911863,1496.55264,64.68122917,1.8911863,1496.55264,135.179975,181.5855131,35.816235,15828.2952,-367.157592,-0.5136973,27.644969,63.71594126,8683831727,2.999952591,259.29458,267.3749,269.3668983,71453.24658,,,27.644969
924,65.6786148,1.3599451,14751.2182,65.6786148,1.3599451,14751.2182,132.7148392,178.7814366,35.27877,145324.9567,-3482.184713,-0.517323,28.634117,61.4457216,83743955523,3.999831135,21.751723,246.117471,39.3851485,67331.96441,281.7252,0.663532279,28.634117
925,66.6775371,99.84462969,14547.23311,66.6775371,99.84462969,14547.23311,13.419386,176.991182,34.1967,145118.566,-3882.555132,-0.58556315,29.6292826,59.3315745,8862485662,4.999763733,181.7987698,227.622688,29.438165,59571.71469,18314.98392,0.469262185,29.6292826
926,67.67531117,99.46273813,14342.84,67.67531117,99.46273813,14342.84,128.5425419,173.44764,296.926575,14167.2432,-2953.952432,-0.45774332,3.619726,57.358922,78172626172,1,74,,74,,,,3.619726
927,68.6757269,98.97544442,14149.21735,68.6757269,98.97544442,14149.21735,126.5289293,17.9826665,29.413151,138267.1285,-2163.253439,-0.3441699,31.5986772,55.5117285,75655789214,1.999929982,69.99985996,3.999999998,11.8625564,15.99999998,,,31.5986772
928,69.676757,17.4299296,18854.54952,69.676757,17.4299296,18854.54952,144.42262,194.5499619,298.46485,14341.3988,-5363.585163,-0.74994662,32.5963925,53.7823974,732959441,2.999915271,276.57248,291.3484228,285.753674,84883.935,,,32.5963925
929,7.66718,16.8436598,18611.68653,7.66718,16.8436598,18611.68653,141.681587,192.55477,31.5246934,13284.3584,-354.71419,-0.44524623,33.5822775,52.15359816,717876732,3.999783193,223.514478,268.269,339.875834,85599.4337,35977.17,0.622731244,33.5822775
93,71.66539898,16.2737382,18374.93685,71.66539898,16.2737382,18374.93685,139.4593387,189.649149,3.4869348,132587.9358,-3722.151859,-0.54942355,34.5747871,5.62235359,68991743357,4.999692564,191.9992213,248.189367,319.239991,7751.8346,2243.52916,0.419845258,34.5747871
931,72.6653893,15.8295964,18136.2316,72.6653893,15.8295964,18136.2316,137.592138,187.2339895,299.624911,132344.7678,-4275.98712,-0.63928855,35.5747398,49.17837239,6723782376,1,74,,74,,,,35.5747398
932,73.6628491,15.2888951,17911.24115,73.6628491,15.2888951,17911.24115,135.665699,184.9932459,289.4282,12723.9561,-384.4591,-0.4762355,36.5624854,47.81457745,65164915114,1.99996545,69.999939,3.999999999,11.862646,16,,,36.5624854
933,74.662435,112.6916955,2178.15341,74.662435,112.6916955,2178.15341,149.739572,21.158187,295.9162323,1295.739,-5565.263341,-0.7932474,37.564589,46.52426799,634636522,2.99995384,266.29716,277.261984,276.142935,76843.27641,,,37.564589
934,75.6578919,112.745531,21449.66279,75.6578919,112.745531,21449.66279,147.543351,198.9485847,294.6815372,1213.6938,-5554.27635,-0.82447594,38.537924,45.319655,6174135127,3.999771193,215.9993684,255.294576,3.2147891,68487.45978,25779.13362,0.694163746,38.537924
935,76.6562437,111.4734972,21197.17785,76.6562437,111.4734972,21197.17785,145.417386,196.864359,293.6424239,12126.72,-5798.235955,-0.875748,39.5285178,44.14198233,6159197236,4.999672553,185.9975299,236.186161,279.4735,59593.58463,1754.79694,0.51732431,39.5285178
936,77.65489159,11.999327,2942.6194,77.65489159,11.999327,2942.6194,143.634262,194.6532369,288.64896,118865.1535,-4966.293559,-0.7611146,4.5227468,43.3992631,5865718289,1,74,,74,,,,4.5227468
937,78.652185,11.418975,271.2842,78.652185,11.418975,271.2842,141.743317,192.6398864,283.97343,116711.6788,-4234.941282,-0.668743,41.578888,41.9916116,57228287445,1.99996293,69.99992581,3.999999999,11.862616,15.99999999,,,41.578888
938,79.6514167,118.7218,2547.93225,79.6514167,118.7218,2547.93225,155.4945272,29.73899,291.8127,11978.1693,-6524.28379,-0.93511274,42.547844,4.9932726,55867344886,2.999947779,286.673888,36.4317119,296.67419,939.3946,,,42.547844
939,8.6441494,117.4263169,2477.543,8.6441494,117.4263169,2477.543,153.4155143,27.7263111,296.3888588,117141.6116,-2865.42324,-0.41799792,43.4664195,4.413978,545695121,3.99967478,231.4982961,282.53665,367.7613,1615.1365,4429.6263,0.58913434,43.4664195
94,81.64414851,116.7964332,24499.13948,81.64414851,116.7964332,24499.13948,151.43918,25.767148,295.3664734,116845.635,-3736.3521,-0.552286,44.4664166,39.13197981,533369236,4.99967451,198.396479,26.8159173,347.87516,97758.9438,2639.19275,0.381864737,44.4664166
941,82.64414392,116.1817927,24233.54191,82.64414392,116.1817927,24233.54191,149.534429,23.8593258,294.3986638,116564.7243,-4567.935196,-0.67899442,45.4663919,38.2632878,52146711642,5.99967377,176.3291993,243.1491334,335.7796161,91786.54592,1419.9982,0.22262875,45.4663919
942,83.63862188,115.6774588,23964.8222,83.63862188,115.6774588,23964.8222,147.893966,21.9337889,289.9714169,114737.8787,-3832.711489,-0.57956724,46.4362931,37.43246789,5114161689,1,74,,74,,,,46.4362931
943,84.6362389,115.956,2371.4831,84.6362389,115.956,2371.4831,146.153498,2.1248836,285.8237,11291.1196,-3181.51456,-0.48928936,47.4229819,36.63683718,49929729969,1.9999719,69.99994218,4,11.8626129,16,,,47.4229819
944,85.63568652,122.154268,27656.64263,85.63568652,122.154268,27656.64263,158.97743,214.383594,292.887452,115126.3782,-5199.362985,-0.74669626,48.42162,35.87425554,48894369,2.999958864,286.6695991,36.4314212,296.666463,939.21588,,,48.42162
945,86.6369989,121.56581,27373.37422,86.6369989,121.56581,27373.37422,156.2196975,212.511615,296.8255538,113675.4617,-236.74978,-0.29673777,49.392131,35.14288462,4789347747,3.999784175,231.4992225,282.54168,367.765755,1615.3439,4429.77243,0.589135274,49.392131
946,87.6369989,12.8726492,2795.7597,87.6369989,12.8726492,2795.7597,154.4167176,21.7554355,295.886147,113382.2948,-2849.744148,-0.4186439,5.392131,34.4457772,46936351988,4.999784175,198.3979492,26.8169734,347.8759795,97759.32393,2639.2378,0.381863842,5.392131
947,88.6331178,12.253539,26823.6318,88.6331178,12.253539,26823.6318,152.684389,29.4612,294.982293,11312.1316,-363.295382,-0.53768669,51.3899148,33.76587,4616734467,5.99976231,176.337491,243.154727,335.78413,91786.96278,1419.7745,0.22258189,51.3899148
948,89.62929573,119.7374772,26547.96176,89.62929573,119.7374772,26547.96176,151.1723365,27.334348,294.24263,112824.754,-437.482436,-0.643338,52.384637,33.1169694,451324546,1,74,,74,,,,52.384637
949,9.6277939,119.144532,26286.53964,9.6277939,119.144532,26286.53964,149.5664485,25.666338,287.2416692,19942.179,-3382.635911,-0.516369,53.3753238,32.4926879,44281497367,1.99998325,69.99996641,4,11.8626295,16,,,53.3753238
95,91.6272827,125.721348,29896.82451,91.6272827,125.721348,29896.82451,16.1227541,217.7753645,292.877226,11214.917,-5176.726764,-0.7462328,54.3723385,31.89132344,434623469,2.999971948,286.668673,36.431757,296.65747,939.418,,,54.3723385
951,92.622926,125.575627,29612.11132,92.622926,125.575627,29612.11132,158.412588,216.1536664,296.8255948,11581.3924,-2532.584546,-0.379314,55.3465211,31.31197154,4267231345,3.999828618,231.499139,282.54856,363.695913,1324.163,42975.38,0.594239651,55.3465211
952,93.62289556,124.426761,29332.67573,93.62289556,124.426761,29332.67573,156.763358,214.5653322,295.94872,11294.813,-3247.338778,-0.4785486,56.3464793,3.75317512,419177941,4.999828314,198.3981746,26.8171135,343.5763277,9462.62871,25916.41933,0.38753734,56.3464793
953,94.61885,123.892638,2958.36378,94.61885,123.892638,2958.36378,155.171866,213.92962,295.188254,1118.281,-3936.39383,-0.58372635,57.321967,3.214697,41175917322,5.99969598,176.333763,243.151244,331.3234958,88417.12791,14111.97212,0.226353655,57.321967
954,95.61379349,123.2883216,2878.12622,95.61379349,123.2883216,2878.12622,153.773548,211.4389,291.59233,18636.9738,-3323.313438,-0.49952538,58.2917896,29.69352238,446634474,1,74,,74,,,,58.2917896
955,96.679319,122.6953233,28515.8399,96.679319,122.6953233,28515.8399,152.286212,29.937174,288.875785,17247.3681,-2772.725456,-0.4223858,59.25647,29.1961123,3978771986,1.999938395,69.99987679,3.999999998,11.862568,15.99999998,,,59.25647
956,97.6777467,128.814768,31841.41381,97.6777467,128.814768,31841.41381,161.7438973,22.497819,293.19748,19194.897,-439.867913,-0.63684997,6.2552555,28.7431113,391184176,2.999935734,286.671226,36.432425,296.682216,939.59668,,,6.2552555
957,98.6374921,128.1777185,31558.169,98.6374921,128.1777185,31558.169,16.174918,219.212472,296.811363,1855.316,-219.93139,-0.29638751,61.2352,28.234239,384773956,3.99981213,231.58267,282.55123,363.6982224,1324.7281,42975.6553,0.59423236,61.2352
958,99.632234,127.5534643,31279.68749,99.632234,127.5534643,31279.68749,158.656524,217.5719755,295.9947158,17775.8919,-2689.785339,-0.3973514,62.2271158,27.7788167,37856634382,4.99978983,198.39927,26.8179937,343.578281,9463.8454,25915.7398,0.38752521,62.2271158
959,1.627943,126.9416178,316.5175,1.627943,126.9416178,316.5175,157.186396,216.1492674,295.292734,1756.2953,-3337.848317,-0.49627495,63.2245749,27.3384899,3725594956,5.999769347,176.3318767,243.151582,331.325663,88417.71235,14111.1111,0.226338244,63.2245749
96,11.614458,126.425463,3728.19327,11.614458,126.425463,3728.19327,155.8869623,214.724544,291.926769,1628.15,-2779.21732,-0.418276,64.2161273,26.9116638,3667421876,1,74,,74,,,,64.2161273
961,12.597914,125.83164,3463.92731,12.597914,125.83164,3463.92731,154.544981,213.3319544,288.78456,1543.7654,-2274.93882,-0.34657761,65.193793,26.4972578,3619974333,1.999965114,69.9999323,3.999999999,11.862647,16,,,65.193793
962,13.5946223,131.5671536,33544.82326,13.5946223,131.5671536,33544.82326,163.73663,222.69224,293.4566275,16875.2789,-3748.49237,-0.5475271,66.173124,26.9595234,3556299695,2.99991194,286.6737564,36.4328991,296.76716,9391.12166,,,66.173124
963,14.5876559,13.942426,33264.896,14.5876559,13.942426,33264.896,161.6218329,221.3373314,296.789196,15956.5853,-16.4451,-0.23583933,67.128618,25.76685,353237791,3.999699461,231.511719,282.55322,363.698465,1324.8136,42974.481,0.59422286,67.128618
964,15.5847923,13.3251896,32989.3114,15.5847923,13.3251896,32989.3114,16.2158575,22.53453,296.257189,15686.66,-2229.21339,-0.3357311,68.1127,25.328761,3451721333,4.99958995,198.3982227,26.8172357,343.5776377,9462.7978,25914.22514,0.38753519,68.1127
965,16.584785,129.7216776,32718.2558,16.584785,129.7216776,32718.2558,158.856284,218.6955487,295.289574,15424.1428,-2839.7889,-0.42362684,69.112228,24.96173531,34174816,5.99958963,176.333429,243.151729,331.324876,88417.27556,1419.31475,0.2263168,69.112228
966,17.5847769,129.237449,32442.7316,17.5847769,129.237449,32442.7316,157.6386673,217.361367,294.6388547,15161.4852,-3379.37485,-0.5722858,7.11173,24.6519536,33531159569,1,74,,74,,,,7.11173
967,18.5773937,128.6216371,3218.38592,18.5773937,128.6216371,3218.38592,156.348948,216.953186,289.367636,1321.7444,-2654.57963,-0.449642,71.621243,24.2588137,335893144,1.999931374,69.99986274,3.999999998,11.8625583,15.99999998,,,71.621243
968,19.576234,134.185954,3549.22277,19.576234,134.185954,3549.22277,164.1765,224.4985561,293.6713,14937.845,-41.37398,-0.5874918,72.54543,23.9219323,3259981411,2.9999113,286.673744,36.432758,296.7113,9391.318,,,72.54543
969,11.5674969,133.434183,34773.6939,11.5674969,133.434183,34773.6939,162.8311185,223.247441,296.762669,14187.568,-214.5831,-0.29832425,72.99971261,23.5943963,32153239466,3.99967812,231.52653,282.548437,363.6978452,1324.658,42974.7948,0.594229149,72.99971261
97,111.567496,132.799269,3452.36761,111.567496,132.799269,3452.36761,161.5225848,222.155538,296.466469,13925.7834,-261.74567,-0.38742472,73.999712,23.27554629,31718734546,4.99967779,198.398326,26.817121,343.5775446,9462.7558,25915.7534,0.387526535,73.999712
971,112.5674891,132.258538,34235.15134,112.5674891,132.258538,34235.15134,16.2489453,22.824698,295.3536799,13672.854,-3172.943561,-0.4757744,74.9997748,22.9652458,31295816443,5.99967473,176.334819,243.153163,331.3248989,88417.3225,14111.38192,0.22634373,74.9997748
972,113.562291,131.6932988,33963.2511,113.562291,131.6932988,33963.2511,159.114142,219.5655,292.55199,12673.461,-2687.97871,-0.466663,75.9948735,22.66313288,38841596,1,74,,74,,,,75.9948735
973,114.555864,131.119838,3374.1175,114.555864,131.119838,3374.1175,157.946148,218.389683,289.8627272,11663.8753,-2246.79713,-0.34333724,76.99194683,22.36884778,3482868719,1.99996153,69.9999236,3.999999999,11.8625998,15.99999999,,,76.99194683
974,115.555647,136.215938,36387.46751,115.555647,136.215938,36387.46751,165.1117594,226.119883,293.851274,13296.4556,-3491.85548,-0.51561247,77.9914126,22.824895,39219683,2.999947639,286.673971,36.4317168,296.67419,939.3975,,,77.9914126
975,116.549283,135.613485,36117.19976,116.549283,135.613485,36117.19976,163.856981,224.849966,296.971531,1294.326,-1539.46897,-0.22869439,78.98745943,21.8257754,2971147572,3.9997956,231.4999786,282.54668,367.768232,1615.595,4429.68913,0.589133374,78.98745943
976,117.54921,135.212734,3585.82289,117.54921,135.212734,3585.82289,162.6335769,223.7444,296.2982615,12652.8226,-2121.47751,-0.31675758,79.98745447,21.53269,2933961233,4.999795349,198.398628,26.817491,347.8761253,97759.48645,2639.836,0.38186959,79.98745447
977,118.5487365,134.439548,35588.25516,118.5487365,134.439548,35588.25516,161.44383,222.574969,295.645166,1248.458,-2688.569987,-0.434838,8.98713841,21.2641651,28977326416,5.999775593,176.3313647,243.151295,335.784835,91787.1155,1419.66678,0.2225674,8.98713841
978,119.547319,133.9334888,3532.86367,119.547319,133.9334888,3532.86367,16.3738541,221.4215282,293.3834,11493.5113,-2238.774996,-0.33917341,81.98615831,21.482344,2862388473,1,74,,74,,,,81.98615831
979,12.542948,133.3699262,3565.8165,12.542948,133.3699262,3565.8165,159.2365891,22.3241143,29.5211,1567.9644,-1828.395811,-0.27962594,82.98316743,2.75176537,2827894871,1.99996352,69.9999274,3.999999999,11.862625,15.99999999,,,82.98316743
98,121.54281,138.1964856,37585.41766,121.54281,138.1964856,37585.41766,165.9137291,227.29888,294.232878,12111.372,-2988.34772,-0.44299456,83.98257555,2.5468154,2794222477,2.999949255,286.67283,36.4316736,296.67385,939.3761,,,83.98257555
981,122.5352648,137.672962,3732.87649,122.5352648,137.672962,3732.87649,164.7379673,226.213472,297.1488747,11796.4982,-1185.962512,-0.1767394,84.97786574,2.26348237,276134731,3.99978115,231.4996919,282.544425,367.766173,1615.4374,4429.69931,0.58913387,84.97786574
982,123.5335814,137.276376,3759.9378,123.5335814,137.276376,3759.9378,163.589542,225.14317,296.5137325,11554.4971,-1737.162542,-0.26192,85.97669833,2.2781968,27292233886,4.99972667,198.39794,26.8169834,347.875761,97759.29971,26389.58194,0.381854453,85.97669833
983,124.5335755,136.4572883,3682.53242,124.5335755,136.4572883,3682.53242,162.467528,224.867331,295.8961831,11318.4647,-2275.357759,-0.34228954,86.97669421,19.79755325,26978445994,5.999725827,176.33683,243.153645,335.78586,91786.89919,14189.96654,0.22245814,86.97669421
984,125.53251,135.9597477,3654.18751,125.53251,135.9597477,3654.18751,161.4619295,223.6811,295.3452396,118.369,-2756.188748,-0.4166338,87.97562883,19.57253882,26671787821,1,74,,74,,,,87.97562883
985,126.5296565,135.468359,36289.77584,126.5296565,135.468359,36289.77584,16.38996,221.9782753,291.915952,99621.3399,-2161.477,-0.3391193,88.97395136,19.35258918,263721779,1.99998933,69.99996186,4,11.8626264,16,,,88.97395136
986,127.5257265,139.999553,38664.3831,127.5257265,139.999553,38664.3831,166.6897,228.447262,294.5644381,1184.295,-3242.93845,-0.48252387,89.97118784,19.13754136,26789834,2.999918813,286.672549,36.4324344,296.694599,939.83685,,,89.97118784
987,128.51783,139.4152268,3845.4589,128.51783,139.4152268,3845.4589,165.52884,227.3879243,297.3491,1577.2221,-1692.318522,-0.25338873,9.9658777,18.92726553,2579229521,3.999715418,231.54534,282.548828,362.5426837,12415.5793,42673.7411,0.59572818,9.9658777
988,129.517713,138.8483885,3815.22319,129.517713,138.8483885,3815.22319,164.42923,226.3835878,296.4325988,1343.6947,-2181.22355,-0.328429,91.9658145,18.72145637,25511752974,4.99971514,198.3984769,26.8173887,342.354637,93741.4368,25779.8833,0.38919932,91.9658145
989,13.5119354,138.292144,37898.26157,13.5119354,138.292144,37898.26157,163.3621918,225.3914598,295.846673,1115.5131,-2659.25987,-0.4169452,92.9614346,18.5212842,25237319251,5.999516878,176.332871,243.15948,33.56219,87494.95351,1488.2951,0.228145398,92.9614346
